url,expected_risk
http://secure-paypal-verify.com/login,HIGH
http://fake-bank-of-america.com/verify,HIGH
http://account-suspended-netflix.com/confirm,HIGH
http://login-facebook-verify.com,HIGH
http://apple-id-confirm.com/account,HIGH
http://google-account-recovery.com,HIGH
http://amazon-order-verify.com,HIGH
http://microsoft-security-alert.com/login,HIGH
http://instagram-verify-account.com,HIGH
http://linkedin-login-verify.com,HIGH
http://paypal-login-secure.com/login,MEDIUM
http://bank-login-verify.com/accounts,MEDIUM
http://login-update-required.com/profile,MEDIUM
http://verify-your-identity.org/suspend,MEDIUM
http://account-verify-now.com/alert,MEDIUM
http://suspicious-shop.com/checkout,LOW
http://free-gift-card.com/claim,LOW
http://lottery-winner-notification.com,LOW
http://prank-site.local/test,LOW
http://example.com,LOW
http://google.com,LOW
http://github.com,LOW
http://stackoverflow.com,LOW
